1	0.000000000	VMware_c0:00:08	Broadcast	ARP	60	Who has 192.168.222.2? Tell 192.168.222.1
30	6.767449121	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 0abac797-6a90-4413-b18e-bc3d1b562fd8.local, "QM" question
31	6.767449607	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 0abac797-6a90-4413-b18e-bc3d1b562fd8.local, "QM" question
32	6.839731472	VMware_5f:8f:61	VMware_fd:e0:e2	ARP	42	Who has 192.168.222.2? Tell 192.168.222.131
33	6.840004890	VMware_fd:e0:e2	VMware_5f:8f:61	ARP	60	192.168.222.2 is at 00:50:56:fd:e0:e2
34	7.380713858	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A b46d64bc-2b73-414f-862c-5c9d1db224b6.local, "QM" question
35	7.380714450	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A b46d64bc-2b73-414f-862c-5c9d1db224b6.local, "QM" question
36	7.382079472	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A c96f4ef0-a93d-441b-91c3-006aaf020374.local, "QM" question
37	7.382647545	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A c96f4ef0-a93d-441b-91c3-006aaf020374.local, "QM" question
38	7.610065249	fe80::a28d:6c84:bba1:6b45	ff02::2	ICMPv6	62	Router Solicitation
39	8.815326630	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A b6f7b8cd-30e5-4e38-be0b-2a112241f5a9.local, "QM" question
40	8.815327058	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A b6f7b8cd-30e5-4e38-be0b-2a112241f5a9.local, "QM" question
41	9.327639128	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 7f17082e-e8f9-4ca8-b3fb-0508abf0962f.local, "QM" question
42	9.327639629	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 7f17082e-e8f9-4ca8-b3fb-0508abf0962f.local, "QM" question
43	9.329216221	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 96e8736a-a229-4080-9d80-4ca31ffa01ad.local, "QM" question
44	9.329216668	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 96e8736a-a229-4080-9d80-4ca31ffa01ad.local, "QM" question
45	11.512892703	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 6d550bb1-5c04-4407-bdb1-82ab496aa9d0.local, "QM" question
46	11.512893205	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 6d550bb1-5c04-4407-bdb1-82ab496aa9d0.local, "QM" question
47	11.515008071	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 3b18844f-9ce7-42d5-9a81-5209e67344b1.local, "QM" question
48	11.515008474	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 3b18844f-9ce7-42d5-9a81-5209e67344b1.local, "QM" question
49	11.961198305	192.168.222.131	34.107.221.82	TCP	54	[TCP Dup ACK 10#1] 43064 → 80 [ACK] Seq=1 Ack=1 Win=64024 Len=0
50	11.961537472	34.107.221.82	192.168.222.131	TCP	60	[TCP Dup ACK 11#1] [TCP ACKed unseen segment] 80 → 43064 [ACK] Seq=1 Ack=2 Win=64240 Len=0
51	13.101096769	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 96f54122-1804-4e4d-8c8e-90f801cf4eaf.local, "QM" question
52	13.101097271	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 96f54122-1804-4e4d-8c8e-90f801cf4eaf.local, "QM" question
53	13.103274068	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 10dd80f2-e40d-4d9e-880b-d6f92fc4c7cf.local, "QM" question
54	13.103274619	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 10dd80f2-e40d-4d9e-880b-d6f92fc4c7cf.local, "QM" question
55	14.284710975	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 89aa8373-8b3d-4f56-9dd0-cca1f05677cb.local, "QM" question
56	14.284712179	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 89aa8373-8b3d-4f56-9dd0-cca1f05677cb.local, "QM" question
57	14.368799684	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 345c2da6-1859-42cf-a304-a257280de545.local, "QM" question
58	14.368800184	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 345c2da6-1859-42cf-a304-a257280de545.local, "QM" question
59	14.370671515	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 70edc63f-75af-4a9d-858f-c7bfe02575cb.local, "QM" question
60	14.370671961	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 70edc63f-75af-4a9d-858f-c7bfe02575cb.local, "QM" question
61	14.640625854	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A b4ea0047-4b67-4d01-b415-4f49351ea079.local, "QM" question
62	14.640626362	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A b4ea0047-4b67-4d01-b415-4f49351ea079.local, "QM" question
63	15.534847593	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 97167ef5-3c8a-43a1-9d64-dde821b95523.local, "QM" question
64	15.534848025	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 97167ef5-3c8a-43a1-9d64-dde821b95523.local, "QM" question
65	16.315219540	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A b589356f-896a-4785-8f22-a8cbdf1cd052.local, "QM" question
66	16.315220047	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A b589356f-896a-4785-8f22-a8cbdf1cd052.local, "QM" question
67	16.317205098	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A d1b61d58-aea5-48ee-813b-bc03962dc76e.local, "QM" question
68	16.317205519	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A d1b61d58-aea5-48ee-813b-bc03962dc76e.local, "QM" question
69	17.730782699	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A f7583420-9669-45bb-be7c-a25780236147.local, "QM" question
70	17.730783096	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A f7583420-9669-45bb-be7c-a25780236147.local, "QM" question
71	17.915818071	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 017bc20c-3590-4352-89af-349636f10e4f.local, "QM" question
72	17.915818871	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 017bc20c-3590-4352-89af-349636f10e4f.local, "QM" question
73	18.240269249	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 886ace64-a70a-4564-ab3c-bbb42c2a8f61.local, "QM" question
74	18.240269791	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 886ace64-a70a-4564-ab3c-bbb42c2a8f61.local, "QM" question
75	18.242549164	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A cac53cfb-41d9-486b-85b2-8d81f7786bf3.local, "QM" question
76	18.242549626	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A cac53cfb-41d9-486b-85b2-8d81f7786bf3.local, "QM" question
77	19.317286651	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 80ef3a9e-3b0a-4d91-8998-4a9a509afc5c.local, "QM" question
78	19.317287436	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 80ef3a9e-3b0a-4d91-8998-4a9a509afc5c.local, "QM" question
79	19.602785769	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 6f9e8f3b-4f0f-4e8f-a091-152dbfd0d0bf.local, "QM" question
80	19.602975536	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 6f9e8f3b-4f0f-4e8f-a091-152dbfd0d0bf.local, "QM" question
81	19.604680101	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 85a0527a-439f-47b6-8558-9df7f18b5372.local, "QM" question
82	19.604680478	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 85a0527a-439f-47b6-8558-9df7f18b5372.local, "QM" question
83	19.819898556	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A b17327c7-eef2-4cd8-a802-87850a2e4f81.local, "QM" question
84	19.819899012	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A b17327c7-eef2-4cd8-a802-87850a2e4f81.local, "QM" question
85	20.324997833	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A e0a1d64f-c01f-4e67-b899-8e7f3269294c.local, "QM" question
86	20.324998362	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A e0a1d64f-c01f-4e67-b899-8e7f3269294c.local, "QM" question
87	20.326716322	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 3e001cf1-e79f-4e21-8cfb-34c4f81d42a2.local, "QM" question
88	20.326716845	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 3e001cf1-e79f-4e21-8cfb-34c4f81d42a2.local, "QM" question
89	20.852988602	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A a8a51fdc-29e3-40b0-853e-58ddaaa72265.local, "QM" question
90	20.852989628	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A a8a51fdc-29e3-40b0-853e-58ddaaa72265.local, "QM" question
91	20.856511933	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 01f13045-81b7-43ae-aca6-6ef1ffcb57b8.local, "QM" question
92	20.856512303	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 01f13045-81b7-43ae-aca6-6ef1ffcb57b8.local, "QM" question
93	21.469608757	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A ba60ac3d-46a1-4122-9ba6-0100c49df5e2.local, "QM" question
94	21.469609208	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A ba60ac3d-46a1-4122-9ba6-0100c49df5e2.local, "QM" question
95	21.816829257	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A d02d010c-e815-4e7b-beb3-41326cd5e4c8.local, "QM" question
96	21.816829824	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A d02d010c-e815-4e7b-beb3-41326cd5e4c8.local, "QM" question
97	22.202333829	192.168.222.131	34.107.221.82	TCP	54	[TCP Dup ACK 10#2] 43064 → 80 [ACK] Seq=1 Ack=1 Win=64024 Len=0
98	22.202574634	34.107.221.82	192.168.222.131	TCP	60	[TCP Dup ACK 11#2] [TCP ACKed unseen segment] 80 → 43064 [ACK] Seq=1 Ack=2 Win=64240 Len=0
99	22.326359160	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A c6ccb735-96ea-4eb6-9c59-6c59fd21ab73.local, "QM" question
100	22.326359783	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A c6ccb735-96ea-4eb6-9c59-6c59fd21ab73.local, "QM" question
101	22.327873825	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A c1bf5a94-c5e2-4b13-be53-8e88e18e8a01.local, "QM" question
102	22.327874234	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A c1bf5a94-c5e2-4b13-be53-8e88e18e8a01.local, "QM" question
103	22.615464982	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 9c985edf-0afb-4fa4-b657-9a4e55340047.local, "QM" question
104	22.615465380	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 9c985edf-0afb-4fa4-b657-9a4e55340047.local, "QM" question
105	23.756025644	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A e67696f8-90e5-4beb-ba3c-91be0630af0e.local, "QM" question
106	23.756026114	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A e67696f8-90e5-4beb-ba3c-91be0630af0e.local, "QM" question
107	23.757541824	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 9dc56b7e-bf22-4d42-900d-f21e99def638.local, "QM" question
108	23.757542245	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 9dc56b7e-bf22-4d42-900d-f21e99def638.local, "QM" question
109	25.513665394	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 017bc20c-3590-4352-89af-349636f10e4f.local, "QM" question
110	25.513665988	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 017bc20c-3590-4352-89af-349636f10e4f.local, "QM" question
111	26.126027243	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A c7caa855-5d0a-4c03-a21a-6b9a973b26fa.local, "QM" question
112	26.126027689	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A c7caa855-5d0a-4c03-a21a-6b9a973b26fa.local, "QM" question
113	27.036611556	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 95efa21f-868b-42f2-afc6-d66ced3ee235.local, "QM" question
114	27.036612004	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 95efa21f-868b-42f2-afc6-d66ced3ee235.local, "QM" question
115	27.127794584	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 7c895741-b795-45e0-9dc8-a1ad7c8e6e79.local, "QM" question
116	27.127795126	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 7c895741-b795-45e0-9dc8-a1ad7c8e6e79.local, "QM" question
117	27.127795208	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A dfcbf6d3-96ed-4d98-af11-3a9287b79e46.local, "QM" question
118	27.127795332	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A dfcbf6d3-96ed-4d98-af11-3a9287b79e46.local, "QM" question
119	27.529760076	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A e732dd1a-ea59-4187-9294-2dfce4b55bf0.local, "QM" question
120	27.529760477	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A e732dd1a-ea59-4187-9294-2dfce4b55bf0.local, "QM" question
121	27.928405825	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A d4309919-9d76-4b0d-a77f-84d94875b3c5.local, "QM" question
122	27.928908883	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A d4309919-9d76-4b0d-a77f-84d94875b3c5.local, "QM" question
123	27.946893461	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A e132f5e4-a43d-46d9-a75e-b848bb31337b.local, "QM" question
124	27.946893991	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A e132f5e4-a43d-46d9-a75e-b848bb31337b.local, "QM" question
125	27.946894052	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 12206a65-6f0c-4b47-8d74-637a660acbc8.local, "QM" question
126	27.946894106	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 12206a65-6f0c-4b47-8d74-637a660acbc8.local, "QM" question
127	28.117180213	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 0887e19e-5f3a-4e7d-9a63-cede23792b0b.local, "QM" question
128	28.117180582	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 0887e19e-5f3a-4e7d-9a63-cede23792b0b.local, "QM" question
129	28.302357464	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 0853b2a7-22c9-4f98-a56c-69cd7b5586a7.local, "QM" question
130	28.302621908	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 0853b2a7-22c9-4f98-a56c-69cd7b5586a7.local, "QM" question
131	28.304431028	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 46f86204-a966-4f9c-8b01-557c3d174638.local, "QM" question
132	28.304431509	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 46f86204-a966-4f9c-8b01-557c3d174638.local, "QM" question
133	29.115772955	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A ee51cc9f-f9dd-4234-b19a-154bb3160d3f.local, "QM" question
134	29.115773380	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A ee51cc9f-f9dd-4234-b19a-154bb3160d3f.local, "QM" question
135	29.813803949	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A dde2c307-0c6f-4724-955f-a86abd3cadd3.local, "QM" question
136	29.813804313	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A dde2c307-0c6f-4724-955f-a86abd3cadd3.local, "QM" question
137	29.815494280	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 8272df44-381f-4dc5-bc8e-b3d07e4672e5.local, "QM" question
138	29.815494866	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 8272df44-381f-4dc5-bc8e-b3d07e4672e5.local, "QM" question
139	30.513083322	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A ad6fe063-37be-449d-8f6a-387b9747704a.local, "QM" question
140	30.513083759	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A ad6fe063-37be-449d-8f6a-387b9747704a.local, "QM" question
141	31.412198503	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 7dab27f0-b5cd-41f5-b3a4-0028b3f0ee96.local, "QM" question
142	31.412199402	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 7dab27f0-b5cd-41f5-b3a4-0028b3f0ee96.local, "QM" question
143	31.713731500	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A d6979628-4588-4799-82fa-640d56f866ad.local, "QM" question
144	31.713732183	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A d6979628-4588-4799-82fa-640d56f866ad.local, "QM" question
145	32.440788441	192.168.222.131	34.107.221.82	TCP	54	[TCP Dup ACK 10#3] 43064 → 80 [ACK] Seq=1 Ack=1 Win=64024 Len=0
146	32.442488160	34.107.221.82	192.168.222.131	TCP	60	[TCP Dup ACK 11#3] [TCP ACKed unseen segment] 80 → 43064 [ACK] Seq=1 Ack=2 Win=64240 Len=0
147	33.614384298	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 823eecef-9f02-4258-a41e-1dad63957436.local, "QM" question
148	33.614384635	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 823eecef-9f02-4258-a41e-1dad63957436.local, "QM" question
149	33.617125191	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 66bbc499-715e-4625-bbb8-b7d08c1cf14d.local, "QM" question
150	33.617125639	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 66bbc499-715e-4625-bbb8-b7d08c1cf14d.local, "QM" question
151	34.014120847	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 2f3b2ff9-4756-449f-a6b2-18e63ec2f24b.local, "QM" question
152	34.014121572	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 2f3b2ff9-4756-449f-a6b2-18e63ec2f24b.local, "QM" question
153	34.024435849	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A e192b8d5-2dc8-4cb1-b157-f120b2dc88f2.local, "QM" question
154	34.024436423	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A e192b8d5-2dc8-4cb1-b157-f120b2dc88f2.local, "QM" question
155	34.131618726	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 3dcc95be-d54c-4b08-a394-e351c73bd328.local, "QM" question
156	34.131619456	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 3dcc95be-d54c-4b08-a394-e351c73bd328.local, "QM" question
157	34.133244109	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 41411444-a887-4c67-9136-695e12b3b1c2.local, "QM" question
158	34.133244614	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 41411444-a887-4c67-9136-695e12b3b1c2.local, "QM" question
159	34.156709864	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 40f39174-ede7-4a9c-866b-a23a118408ac.local, "QM" question
160	34.156711106	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 40f39174-ede7-4a9c-866b-a23a118408ac.local, "QM" question
161	34.203295355	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 967c7cff-60fc-46f0-974e-a2b30f63f587.local, "QM" question
162	34.203295764	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 967c7cff-60fc-46f0-974e-a2b30f63f587.local, "QM" question
163	34.204817596	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A 96556b48-e5fe-495f-985e-12a0ccc4db8b.local, "QM" question
164	34.204818072	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A 96556b48-e5fe-495f-985e-12a0ccc4db8b.local, "QM" question
165	34.815980825	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A b6933069-6c46-4117-b046-2634868dac9f.local, "QM" question
166	34.815981411	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A b6933069-6c46-4117-b046-2634868dac9f.local, "QM" question
167	35.912612511	192.168.222.1	224.0.0.251	MDNS	102	Standard query 0x0000 A b6667ead-e9bf-4c5c-9676-8355fa880b30.local, "QM" question
168	35.912844063	fe80::180e:eb51:a2bb:7b65	ff02::fb	MDNS	122	Standard query 0x0000 A b6667ead-e9bf-4c5c-9676-8355fa880b30.local, "QM" question
